updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2014-12-19 17:11:21.956000,ms-2014-06-24-primary-runoff,2014-06-24 00:00:00,2014-06-24 00:00:00,primary-runoff,certified,False,U.S. Senate,,Thad Cochran,,,,,Republican,"Dist. 1, Bellemont",ocd-division/country:us/state:ms/county:adams/precinct:dist._1~_bellemont,445,,,,,2014
2014-12-19 17:11:21.956000,ms-2014-06-24-primary-runoff,2014-06-24 00:00:00,2014-06-24 00:00:00,primary-runoff,certified,False,U.S. Senate,,Chris McDaniel,,,,,Republican,"Dist. 1, Bellemont",ocd-division/country:us/state:ms/county:adams/precinct:dist._1~_bellemont,328,,,,,2014
2014-12-19 17:11:21.956000,ms-2014-06-24-primary-runoff,2014-06-24 00:00:00,2014-06-24 00:00:00,primary-runoff,certified,False,U.S. Senate,,Thad Cochran,,,,,Republican,"Dist. 1, By-Pass Fire",ocd-division/country:us/state:ms/county:adams/precinct:dist._1~_by-pass_fire,68,,,,,2014
2014-12-19 17:11:21.956000,ms-2014-06-24-primary-runoff,2014-06-24 00:00:00,2014-06-24 00:00:00,primary-runoff,certified,False,U.S. Senate,,Chris McDaniel,,,,,Republican,"Dist. 1, By-Pass Fire",ocd-division/country:us/state:ms/county:adams/precinct:dist._1~_by-pass_fire,69,,,,,2014
2014-12-19 17:11:21.956000,ms-2014-06-24-primary-runoff,2014-06-24 00:00:00,2014-06-24 00:00:00,primary-runoff,certified,False,U.S. Senate,,Thad Cochran,,,,,Republican,"Dist. 1, Courthouse",ocd-division/country:us/state:ms/county:adams/precinct:dist._1~_courthouse,220,,,,,2014
2014-12-19 17:11:21.956000,ms-2014-06-24-primary-runoff,2014-06-24 00:00:00,2014-06-24 00:00:00,primary-runoff,certified,False,U.S. Senate,,Chris McDaniel,,,,,Republican,"Dist. 1, Courthouse",ocd-division/country:us/state:ms/county:adams/precinct:dist._1~_courthouse,100,,,,,2014
2014-12-19 17:11:21.956000,ms-2014-06-24-primary-runoff,2014-06-24 00:00:00,2014-06-24 00:00:00,primary-runoff,certified,False,U.S. Senate,,Thad Cochran,,,,,Republican,"Dist. 2, Beau Pre",ocd-division/country:us/state:ms/county:adams/precinct:dist._2~_beau_pre,123,,,,,2014
2014-12-19 17:11:21.956000,ms-2014-06-24-primary-runoff,2014-06-24 00:00:00,2014-06-24 00:00:00,primary-runoff,certified,False,U.S. Senate,,Chris McDaniel,,,,,Republican,"Dist. 2, Beau Pre",ocd-division/country:us/state:ms/county:adams/precinct:dist._2~_beau_pre,108,,,,,2014
2014-12-19 17:11:21.956000,ms-2014-06-24-primary-runoff,2014-06-24 00:00:00,2014-06-24 00:00:00,primary-runoff,certified,False,U.S. Senate,,Thad Cochran,,,,,Republican,"Dist. 2, Duncan Park",ocd-division/country:us/state:ms/county:adams/precinct:dist._2~_duncan_park,200,,,,,2014
2014-12-19 17:11:21.956000,ms-2014-06-24-primary-runoff,2014-06-24 00:00:00,2014-06-24 00:00:00,primary-runoff,certified,False,U.S. Senate,,Chris McDaniel,,,,,Republican,"Dist. 2, Duncan Park",ocd-division/country:us/state:ms/county:adams/precinct:dist._2~_duncan_park,86,,,,,2014
