updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2014-12-06 16:14:16.476000,ms-2013-05-28-special-general,2013-05-28 00:00:00,2013-05-28 00:00:00,general,certified,True,State House,95,Patricia H. Willis,,,,,,West Orange Grove,ocd-division/country:us/state:ms/county:harrison/precinct:west_orange_grove,29,,,,,2013
2014-12-06 16:14:16.476000,ms-2013-05-28-special-general,2013-05-28 00:00:00,2013-05-28 00:00:00,general,certified,True,State House,95,Grant Bower,,,,,,West Orange Grove,ocd-division/country:us/state:ms/county:harrison/precinct:west_orange_grove,0,,,,,2013
2014-12-06 16:14:16.476000,ms-2013-05-28-special-general,2013-05-28 00:00:00,2013-05-28 00:00:00,general,certified,True,State House,95,Sherri Carr Bevis,,,,,,West Orange Grove,ocd-division/country:us/state:ms/county:harrison/precinct:west_orange_grove,29,,,,,2013
2014-12-06 16:14:16.476000,ms-2013-05-28-special-general,2013-05-28 00:00:00,2013-05-28 00:00:00,general,certified,True,State House,95,Tommy Ballard,,,,,,West Orange Grove,ocd-division/country:us/state:ms/county:harrison/precinct:west_orange_grove,6,,,,,2013
2014-12-06 16:14:16.476000,ms-2013-05-28-special-general,2013-05-28 00:00:00,2013-05-28 00:00:00,general,certified,True,State House,95,Patricia H. Willis,,,,,,West Lyman,ocd-division/country:us/state:ms/county:harrison/precinct:west_lyman,60,,,,,2013
2014-12-06 16:14:16.476000,ms-2013-05-28-special-general,2013-05-28 00:00:00,2013-05-28 00:00:00,general,certified,True,State House,95,Grant Bower,,,,,,West Lyman,ocd-division/country:us/state:ms/county:harrison/precinct:west_lyman,4,,,,,2013
2014-12-06 16:14:16.476000,ms-2013-05-28-special-general,2013-05-28 00:00:00,2013-05-28 00:00:00,general,certified,True,State House,95,Sherri Carr Bevis,,,,,,West Lyman,ocd-division/country:us/state:ms/county:harrison/precinct:west_lyman,49,,,,,2013
2014-12-06 16:14:16.476000,ms-2013-05-28-special-general,2013-05-28 00:00:00,2013-05-28 00:00:00,general,certified,True,State House,95,Tommy Ballard,,,,,,West Lyman,ocd-division/country:us/state:ms/county:harrison/precinct:west_lyman,9,,,,,2013
2014-12-06 16:14:16.476000,ms-2013-05-28-special-general,2013-05-28 00:00:00,2013-05-28 00:00:00,general,certified,True,State House,95,Patricia H. Willis,,,,,,South Bel-Aire,ocd-division/country:us/state:ms/county:harrison/precinct:south_bel-aire,7,,,,,2013
2014-12-06 16:14:16.476000,ms-2013-05-28-special-general,2013-05-28 00:00:00,2013-05-28 00:00:00,general,certified,True,State House,95,Grant Bower,,,,,,South Bel-Aire,ocd-division/country:us/state:ms/county:harrison/precinct:south_bel-aire,0,,,,,2013
