updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Robert Earl Young,,,,,,5 South Holly Springs,ocd-division/country:us/state:ms/county:marshall/precinct:5_south_holly_springs,20,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Jacqueline Simon,,,,,,5 South Holly Springs,ocd-division/country:us/state:ms/county:marshall/precinct:5_south_holly_springs,12,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Lee Edward Gill,,,,,,5 South Holly Springs,ocd-division/country:us/state:ms/county:marshall/precinct:5_south_holly_springs,28,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,John Gary Faulkner,,,,,,5 South Holly Springs,ocd-division/country:us/state:ms/county:marshall/precinct:5_south_holly_springs,125,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,"Arthur ""Clyde"" Elizey",,,,,,5 South Holly Springs,ocd-division/country:us/state:ms/county:marshall/precinct:5_south_holly_springs,30,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Andre R. De'Berry,,,,,,5 South Holly Springs,ocd-division/country:us/state:ms/county:marshall/precinct:5_south_holly_springs,146,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Daylon Cannon,,,,,,5 South Holly Springs,ocd-division/country:us/state:ms/county:marshall/precinct:5_south_holly_springs,137,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Robert Earl Young,,,,,,5 Potts Camp,ocd-division/country:us/state:ms/county:marshall/precinct:5_potts_camp,0,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Jacqueline Simon,,,,,,5 Potts Camp,ocd-division/country:us/state:ms/county:marshall/precinct:5_potts_camp,0,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Lee Edward Gill,,,,,,5 Potts Camp,ocd-division/country:us/state:ms/county:marshall/precinct:5_potts_camp,0,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,John Gary Faulkner,,,,,,5 Potts Camp,ocd-division/country:us/state:ms/county:marshall/precinct:5_potts_camp,0,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,"Arthur ""Clyde"" Elizey",,,,,,5 Potts Camp,ocd-division/country:us/state:ms/county:marshall/precinct:5_potts_camp,0,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Andre R. De'Berry,,,,,,5 Potts Camp,ocd-division/country:us/state:ms/county:marshall/precinct:5_potts_camp,0,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Daylon Cannon,,,,,,5 Potts Camp,ocd-division/country:us/state:ms/county:marshall/precinct:5_potts_camp,0,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Robert Earl Young,,,,,,4 Watson,ocd-division/country:us/state:ms/county:marshall/precinct:4_watson,36,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Jacqueline Simon,,,,,,4 Watson,ocd-division/country:us/state:ms/county:marshall/precinct:4_watson,2,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Lee Edward Gill,,,,,,4 Watson,ocd-division/country:us/state:ms/county:marshall/precinct:4_watson,0,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,John Gary Faulkner,,,,,,4 Watson,ocd-division/country:us/state:ms/county:marshall/precinct:4_watson,2,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,"Arthur ""Clyde"" Elizey",,,,,,4 Watson,ocd-division/country:us/state:ms/county:marshall/precinct:4_watson,15,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Andre R. De'Berry,,,,,,4 Watson,ocd-division/country:us/state:ms/county:marshall/precinct:4_watson,16,,,,,2013
2014-12-19 19:44:36.599000,ms-2013-11-05-special-general,2013-11-05 00:00:00,2013-11-05 00:00:00,general,certified,True,State House,5,Daylon Cannon,,,,,,4 Watson,ocd-division/country:us/state:ms/county:marshall/precinct:4_watson,21,,,,,2013
