updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Karl Gibbs,,,,,,Cairo,ocd-division/country:us/state:ms/county:clay/precinct:cairo,63,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Eddie Longstreet,,,,,,Cairo,ocd-division/country:us/state:ms/county:clay/precinct:cairo,37,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Karl Gibbs,,,,,,Caradine,ocd-division/country:us/state:ms/county:clay/precinct:caradine,124,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Eddie Longstreet,,,,,,Caradine,ocd-division/country:us/state:ms/county:clay/precinct:caradine,40,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Karl Gibbs,,,,,,Central-West Point,ocd-division/country:us/state:ms/county:clay/precinct:central-west_point,79,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Eddie Longstreet,,,,,,Central-West Point,ocd-division/country:us/state:ms/county:clay/precinct:central-west_point,69,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Karl Gibbs,,,,,,East-West Point,ocd-division/country:us/state:ms/county:clay/precinct:east-west_point,64,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Eddie Longstreet,,,,,,East-West Point,ocd-division/country:us/state:ms/county:clay/precinct:east-west_point,84,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Karl Gibbs,,,,,,North-West Point,ocd-division/country:us/state:ms/county:clay/precinct:north-west_point,205,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Eddie Longstreet,,,,,,North-West Point,ocd-division/country:us/state:ms/county:clay/precinct:north-west_point,203,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Karl Gibbs,,,,,,Pine Bluff,ocd-division/country:us/state:ms/county:clay/precinct:pine_bluff,44,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Eddie Longstreet,,,,,,Pine Bluff,ocd-division/country:us/state:ms/county:clay/precinct:pine_bluff,38,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Karl Gibbs,,,,,,Siloam,ocd-division/country:us/state:ms/county:clay/precinct:siloam,84,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Eddie Longstreet,,,,,,Siloam,ocd-division/country:us/state:ms/county:clay/precinct:siloam,43,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Karl Gibbs,,,,,,Tibbee,ocd-division/country:us/state:ms/county:clay/precinct:tibbee,60,,,,,2013
2014-12-07 21:57:48.161000,ms-2013-04-02-special-general-runoff,2013-04-02 00:00:00,2013-04-02 00:00:00,general-runoff,certified,True,State House,36,Eddie Longstreet,,,,,,Tibbee,ocd-division/country:us/state:ms/county:clay/precinct:tibbee,15,,,,,2013
