updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Anderson Boothe,,,,,,Batesville #3,ocd-division/country:us/state:ms/county:panola/precinct:batesville_~3,36,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Lataisha M. Jackson,,,,,,Batesville #3,ocd-division/country:us/state:ms/county:panola/precinct:batesville_~3,17,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Anderson Boothe,,,,,,Como,ocd-division/country:us/state:ms/county:panola/precinct:como,58,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Lataisha M. Jackson,,,,,,Como,ocd-division/country:us/state:ms/county:panola/precinct:como,385,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Anderson Boothe,,,,,,Courtland,ocd-division/country:us/state:ms/county:panola/precinct:courtland,140,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Lataisha M. Jackson,,,,,,Courtland,ocd-division/country:us/state:ms/county:panola/precinct:courtland,62,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Anderson Boothe,,,,,,Curtis,ocd-division/country:us/state:ms/county:panola/precinct:curtis,127,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Lataisha M. Jackson,,,,,,Curtis,ocd-division/country:us/state:ms/county:panola/precinct:curtis,46,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Anderson Boothe,,,,,,East Batesville,ocd-division/country:us/state:ms/county:panola/precinct:east_batesville,12,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Lataisha M. Jackson,,,,,,East Batesville,ocd-division/country:us/state:ms/county:panola/precinct:east_batesville,1,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Anderson Boothe,,,,,,Enon,ocd-division/country:us/state:ms/county:panola/precinct:enon,22,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Lataisha M. Jackson,,,,,,Enon,ocd-division/country:us/state:ms/county:panola/precinct:enon,2,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Anderson Boothe,,,,,,Macedonia-Concord,ocd-division/country:us/state:ms/county:panola/precinct:macedonia-concord,96,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Lataisha M. Jackson,,,,,,Macedonia-Concord,ocd-division/country:us/state:ms/county:panola/precinct:macedonia-concord,53,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Anderson Boothe,,,,,,North Batesville #A,ocd-division/country:us/state:ms/county:panola/precinct:north_batesville_~a,51,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Lataisha M. Jackson,,,,,,North Batesville #A,ocd-division/country:us/state:ms/county:panola/precinct:north_batesville_~a,41,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Anderson Boothe,,,,,,North Batesville #B,ocd-division/country:us/state:ms/county:panola/precinct:north_batesville_~b,207,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Lataisha M. Jackson,,,,,,North Batesville #B,ocd-division/country:us/state:ms/county:panola/precinct:north_batesville_~b,162,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Anderson Boothe,,,,,,Pleasant Grove,ocd-division/country:us/state:ms/county:panola/precinct:pleasant_grove,9,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Lataisha M. Jackson,,,,,,Pleasant Grove,ocd-division/country:us/state:ms/county:panola/precinct:pleasant_grove,18,,,,,2013
2014-12-07 21:57:24.699000,ms-2013-04-16-special-general-runoff,2013-04-16 00:00:00,2013-04-16 00:00:00,general-runoff,certified,True,State House,11,Anderson Boothe,,,,,,Pleasant Mount,ocd-division/country:us/state:ms/county:panola/precinct:pleasant_mount,6,,,,,2013
